Asset_ID,Asset_Value,Maintenance_Cost,Age,Compliance_Status,Cybersecurity_Score,Physical_Security_Score,Vendor_Risk_Score,Environmental_Risk,Previous_Incidents
1,91716,80286,6,TRUE,12,49,0,1,0
2,60390,58545,0,FALSE,64,65,62,0,2 (Data Breach)
3,79561,82346,3,TRUE,36,13,55,2,3 (Physical Theft)
4,37104,48483,0,TRUE,84,36,53,0,0
5,37327,78966,4,TRUE,4,77,79,2,2 (Data Breach)
6,59673,89475,4,FALSE,88,28,22,0,1 (Malware)
7,35485,49993,7,TRUE,51,94,35,1,0
8,41165,28086,2,TRUE,26,96,98,3,0
9,5026,64182,2,TRUE,38,7,63,0,2 (Data Breach)
10,94460,73755,4,TRUE,47,70,83,3,0
11,61106,17448,9,TRUE,100,84,90,2,1 (Malware)
12,59907,99012,10,FALSE,12,82,32,2,2 (Data Breach)
13,40590,71575,0,FALSE,34,55,57,0,0
14,50318,31754,10,TRUE,98,33,25,1,1 (Malware)
15,11226,4565,1,TRUE,2,4,44,3,0
16,5668,65740,5,TRUE,26,48,46,3,1 (Malware)
17,92863,43217,2,TRUE,77,81,9,2,2 (Data Breach)
18,41597,85874,6,FALSE,55,46,88,0,2 (Data Breach)
19,10443,32538,8,TRUE,58,43,97,1,0
20,54128,99076,6,FALSE,83,15,50,0,0
21,20330,63258,6,TRUE,39,56,61,3,2 (Data Breach)
22,53117,66400,5,FALSE,27,66,68,1,2 (Data Breach)
23,59106,60791,2,TRUE,57,91,15,2,3 (Physical Theft)
24,67912,86993,0,TRUE,24,63,23,3,3 (Physical Theft)
25,86491,77478,1,TRUE,85,7,19,0,3 (Physical Theft)
26,63375,45265,7,FALSE,72,16,53,2,1 (Malware)
27,11221,9671,1,TRUE,95,58,11,1,1 (Malware)
28,51218,87393,2,TRUE,17,48,24,1,2 (Data Breach)
29,20091,12672,2,TRUE,98,29,48,3,1 (Malware)
30,76753,34871,8,FALSE,30,69,5,3,0
31,61311,433,3,FALSE,27,39,63,2,0
32,44393,15270,5,TRUE,92,25,94,1,1 (Malware)
33,26239,14846,2,FALSE,20,78,4,3,1 (Malware)
34,60687,32553,6,TRUE,43,3,24,2,1 (Malware)
35,28320,527,1,FALSE,16,36,51,2,3 (Physical Theft)
36,4833,16714,8,TRUE,78,30,42,1,1 (Malware)
37,19271,61091,1,TRUE,34,75,95,3,0
38,30276,7163,7,FALSE,46,94,4,3,2 (Data Breach)
39,57935,50855,1,TRUE,37,30,25,1,0
40,2922,93145,1,FALSE,93,6,97,3,3 (Physical Theft)
41,86302,25081,4,FALSE,29,32,47,2,1 (Malware)
42,5485,88230,0,FALSE,63,94,97,2,0
43,80714,76133,10,TRUE,40,100,91,1,3 (Physical Theft)
44,16566,88262,2,TRUE,69,90,80,3,1 (Malware)
45,13305,56062,9,TRUE,90,13,95,1,1 (Malware)
46,64183,69761,1,TRUE,30,13,48,3,0
47,25823,65164,10,TRUE,59,67,77,0,3 (Physical Theft)
48,13298,55895,6,FALSE,49,26,20,3,0
49,54923,26644,10,FALSE,59,81,89,0,2 (Data Breach)
50,73435,34910,10,FALSE,46,14,5,3,3 (Physical Theft)
51,32389,46170,0,FALSE,2,71,15,2,1 (Malware)
52,20548,84767,6,TRUE,85,36,45,2,2 (Data Breach)
53,47466,96723,3,FALSE,62,92,4,0,3 (Physical Theft)
54,44566,58641,9,FALSE,28,31,67,3,0
55,14244,87101,8,TRUE,26,78,50,3,2 (Data Breach)
56,83492,74732,6,TRUE,79,93,96,3,2 (Data Breach)
57,50459,96364,5,TRUE,22,85,9,3,2 (Data Breach)
58,96361,69277,1,TRUE,100,74,78,3,3 (Physical Theft)
59,24628,22665,10,TRUE,64,58,45,2,0
60,50337,93763,0,FALSE,30,35,48,1,0
61,35732,99252,8,FALSE,8,41,70,0,3 (Physical Theft)
62,27231,95567,10,TRUE,53,75,14,0,1 (Malware)
63,79477,34848,0,TRUE,22,25,65,1,0
64,43815,98936,10,TRUE,91,81,61,0,1 (Malware)
65,25387,5315,5,FALSE,8,94,71,3,2 (Data Breach)
66,50245,26573,0,TRUE,48,91,87,2,2 (Data Breach)
67,74906,29745,5,TRUE,4,87,25,3,1 (Malware)
68,41300,20604,0,TRUE,46,43,44,1,3 (Physical Theft)
69,75211,72239,3,FALSE,2,19,73,2,3 (Physical Theft)
70,70266,30537,9,FALSE,76,100,65,1,0
71,3003,33909,0,FALSE,51,66,18,0,0
72,71127,2810,6,TRUE,77,26,66,0,2 (Data Breach)
73,82715,44036,3,TRUE,73,21,24,1,3 (Physical Theft)
74,81798,56134,9,FALSE,40,61,11,1,0
75,89158,84014,3,FALSE,12,19,42,2,1 (Malware)
76,43553,60934,10,FALSE,55,12,76,2,2 (Data Breach)
77,90403,32827,9,TRUE,15,99,59,1,3 (Physical Theft)
78,19577,98487,9,TRUE,81,82,68,3,0
79,7196,67588,0,TRUE,95,53,81,3,2 (Data Breach)
80,8079,57225,1,FALSE,10,21,64,1,3 (Physical Theft)
81,90631,94122,3,TRUE,37,60,43,0,1 (Malware)
82,25882,69831,3,FALSE,67,8,20,3,3 (Physical Theft)
83,32076,22758,8,TRUE,53,86,51,0,3 (Physical Theft)
84,96288,15461,5,FALSE,2,25,61,1,3 (Physical Theft)
85,66735,66471,1,TRUE,30,15,54,0,3 (Physical Theft)
86,92102,46238,4,FALSE,53,41,36,1,0
87,75452,68048,3,TRUE,55,75,37,1,2 (Data Breach)
88,14289,51388,2,TRUE,74,67,75,3,3 (Physical Theft)
89,86200,31611,9,FALSE,93,62,84,2,1 (Malware)
90,26351,88355,6,TRUE,75,93,20,0,1 (Malware)
91,59154,30199,2,FALSE,60,72,47,0,3 (Physical Theft)
92,13922,93765,5,TRUE,82,84,21,3,0
93,26959,25456,10,FALSE,42,39,84,3,2 (Data Breach)
94,8798,89180,0,FALSE,50,82,20,2,2 (Data Breach)
95,55568,60125,7,FALSE,72,29,52,3,3 (Physical Theft)
